cac876bc-de38-40e7-8981-4008168c3393,1,1,2018-10-10,2018-10-20
b7a7b093-6b54-47c8-b74a-e57f4c09cb2d,2,1,2018-10-10,2019-12-30
2ebcdfcd-56a8-4b71-9b92-eef637b00d70,3,1,2018-10-10,2018-10-20
b7f1d99d-fab5-45e7-ae1f-a9906631b4e3,4,1,2018-10-10,2018-11-01
22c1abdd-306b-4c7c-a9c7-7cb2d08cd2bd,301,1,2018-10-10,2018-10-15
19eda3f0-df70-4e37-adcb-c7d8ee7aea43,5,1,2018-10-10,2018-10-15
181755fa-c277-4364-a908-f9cd92901fc2,10,1,2018-10-10,2018-10-15
c85a534f-ff5c-4c28-81f1-da1fc11612e2,9,1,2018-10-10,2018-10-30
fd0ba65a-7be1-440a-bf74-43a5fb1d988b,201,1,2018-10-10,2018-10-30
49f36477-baed-4814-9bd7-dbac416244bb,201,1,2018-12-01,2018-12-01
69797481-9203-4b20-b2ff-7d9c20d0f2bf,201,3,2018-10-01,2018-12-30
8c114f89-e34f-4127-a350-39b80ebf7e0a,301,3,2019-01-01,2019-01-30
